装备ID	装备图标	装备名称	随机权值	装备部件	装备品质	装备属性	主属性	主属性成长系数	主属性基础值	名称材质处理	粒子特效	粒子特效参数	武器模型	宝箱系数
uint32	string	string	uint32	uint32	uint32	string	uint32	float	float	uint32	string	string	string	float
EquipId	EquipIcon	EquipName	RandomRatio	EquipType	EquipStar	EquipStat	MainStat	StatRatio	StatBase	NameShader	Particles	ParticlesPara	Model	boxBonus
601110	icon_601110	name_601110	10	1	0		1001	5	10	0				1.05
601111	icon_601111	name_601111	7	1	1	1002,0.02,0.05	1001	6	10	0				1.05
601112	icon_601112	name_601112	5	1	2	1002,0.05,0.1;1052,0.02,0.05	1001	7	10	0				1.05
601113	icon_601113	name_601113	3	1	3	1002,0.01,0.02;1052,0.05,0.1;1042,0.5,1	1001	8	10	0				1.05
601114	icon_601114	name_601114	1	1	4	1002,0.2,0.5;1052,0.1,0.2;1042,1,2;1062,0.2,0.5	1001	9	10	1	name_1	2		1.05
601210	icon_601210	name_601210	10	2	0		1011	5	10	0				1.05
601211	icon_601211	name_601211	7	2	1	1012,0.02,0.05	1011	6	10	0				1.05
601212	icon_601212	name_601212	5	2	2	1012,0.05,0.1;1072,0.02,0.05	1011	7	10	0				1.05
601213	icon_601213	name_601213	3	2	3	1012,0.1,0.2;1072,0.05,0.07;1082,0.1,0.2	1011	8	10	0				1.05
601214	icon_601214	name_601214	1	2	4	1012,0.2,0.5;1072,0.07,0.1;1082,0.2,0.5;1032,0.05,0.2	1011	9	10	1	name_1	2		1.05
601310	icon_601310	name_601310	10	3	0		1021	5	10	0				1.05
601311	icon_601311	name_601311	7	3	1	1022,0.02,0.05	1021	6	10	0				1.05
601312	icon_601312	name_601312	5	3	2	1022,0.05,0.1;1072,0.02,0.05	1021	7	10	0				1.05
601313	icon_601313	name_601313	3	3	3	1022,0.1,0.2;1072,0.02,0.05;1042,0.05,0.2	1021	8	10	0				1.05
601314	icon_601314	name_601314	1	3	4	1022,0.2,0.5;1072,0.02,0.05;1042,0.05,0.2;1052,0.05,0.2	1021	9	10	1	name_1	2		1.05
