怪物ID	名称	金币系数	转生币系数	经验系数	宠物蛋ID	攻击	生命	生命回复	技能攻击	攻击速度	攻击距离	暴击几率	暴击伤害	溅射伤害	闪避	移动速度	怪物形象	怪物尺寸	攻击特效名称	攻击特效持续时间	攻击动作	BOSS说明1	BOSS说明2	BOSS说明3
uint32	string	uint8	uint8	uint8	uint32	uint32	uint32	float	uint32	float	float	float	float	float	float	float	string	float	string	float	int32	string	string	string
id	name	coinBase	tokenBase	expBase	eggID	Attack	HealthPpint	HealthRegen	SkillAttack	AttackSpead	AttackRange	CritChance	CriticalDamage	SplashDamage	Dodge	MoveSpeed	modelID	modelSize	effectName	effectTime	atkAnime	detail1	detail2	detail3
210101	name210101	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310101	0.6	0	0	18	0	0	0
210102	name210102	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310102	0.9	0	0	18	detail004	0	0
210103	name210103	5	5	5	310100	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310103	1.2	0	0	18	detail004	0	0
210201	name210201	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310201	0.6	0	0	20	0	0	0
210202	name210202	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310202	0.9	0	0	20	detail004	0	0
210203	name210203	5	5	5	310200	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310203	1.2	0	0	20	detail004		0
210301	name210301	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310301	0.6	0	0	19	0	0	0
210302	name210302	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310302	0.9	0	0	19	detail001	detail002	detail003
210303	name210303	5	5	5	310300	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310303	1.2	0	0	19	detail001	detail002	detail003
210401	name210401	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310401	0.6	0	0	21	0	0	0
210402	name210402	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310402	0.9	0	0	21	detail004	detail005	detail006
210403	name210403	5	5	5	310400	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310403	1.2	0	0	21	detail004	detail005	detail006
210501	name210501	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310501	0.6	0	0	19	0	0	0
210502	name210502	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310502	0.9	0	0	19	detail001	0	0
210503	name210503	5	5	5	310500	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310503	1.2	0	0	19	detail001	0	0
210601	name210601	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310601	0.6	0	0	21	0	0	0
210602	name210602	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310602	0.9	0	0	21	0	0	0
210603	name210603	5	5	5	310600	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310603	1.2	0	0	21	0	0	0
220101	name220101	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310101	0.6	0	0	18	0	0	0
220102	name220102	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310102	0.9	0	0	18	0	0	0
220103	name220103	5	5	5	320100	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310103	1.2	0	0	18	0	0	0
220201	name220201	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310201	0.6	0	0	20	0	0	0
220202	name220202	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310202	0.9	0	0	20	0	0	0
220203	name220203	5	5	5	320200	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310203	1.2	0	0	20	0	0	0
220301	name220301	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310401	0.6	0	0	19	0	0	0
220302	name220302	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310402	0.9	0	0	19	0	0	0
220303	name220303	5	5	5	320300	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310403	1.2	0	0	19	0	0	0
220401	name220401	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310401	0.6	0	0	21	0	0	0
220402	name220402	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310402	0.9	0	0	21	0	0	0
220403	name220403	5	5	5	320400	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310403	1.2	0	0	21	0	0	0
220501	name220501	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310401	0.6	0	0	19	0	0	0
220502	name220502	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310402	0.9	0	0	19	0	0	0
220503	name220503	5	5	5	320500	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310403	1.2	0	0	19	0	0	0
220601	name220601	1	1	1	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310401	0.6	0	0	21	0	0	0
220602	name220602	5	5	5	0	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310402	0.9	0	0	21	0	0	0
220603	name220603	5	5	5	320600	8	130	0.2	10	3	1.5	0.05	2	0.2	0	2	310403	1.2	0	0	21	0	0	0
